judul,narasi,label
"5 Manfaat Kesehatan Batasi Asupan Garam, Salah Satunya Turunkan Tekanan Darah","ASUPAN garam baru-baru ini cukup ramai dibahas publik sebagai salah satu rahasia awet muda dari drummer Dewa 19, Tyo Nugros. Di usianya yang sudah kepala 5, Tyo tampil fit, bugar, awet muda, sangat jauh dari usianya yang sebenarnya. Alih-alih terlihat sebagai pria berusia 52 tahun, pria kelahiran 1970 itu terlihat seperti baru berusia kepala 3. Salah satu rahasia fit Tyo, ternyata adalah mengurangi asupan garam. Tyo mengungkap, seperti orang biasa pada umumnya, dia masih konsumsi garam sehari-hari. Namun asupannya dikontrol di setiap waktu makan. Secara medis, diet garam atau membatasi asupan garam beryodium ke tubuh seperti yang dilakoni Tyo ini memang bermanfaat untuk kesehatan tubuh. Melansir laman resmi WHO dan Healthshot, ada lima manfaat kesehatan saat Anda mengurangi asupan garam. 1. Bantu turunkan tekanan darah: Asupan garam kurang dari 5 gram per hari pada orang dewasa, disebutkan bisa membantu menurunkan tekanan darah dan risiko penyakit kardiovaskular, stroke, dan serangan jantung koroner. 2. Jauh dari dehidrasi dan kembung: Dikatakan Dr Shalini Garwin Bliss, HOD-Dietician, dari Rumah Sakit Columbia Asia, jika seseorang bisa mempertahankan kadar natrium aman dalam tubuhnya yakni dengan tidak makan terlalu banyak garam, artinya ia bisa mencegah terjadinya dehidrasi dan kram otot, sekaligus menghindari kembung. 3. Berenergi sepanjang hari: Dokter Shalini juga mengungkap, kalau diet rendah sodium bisa membantu untuk mempertahankan tingkat energi tubuh atau dengan kata lain, membuat Anda berenergi sepanjang hari. Pasalnya, natrium yang tinggi membuat penebalan arteri yang menyebabkan detak jantung jadi meningkat karena suplai darah rendah. Alhasil, membuat kita jadi cenderung mudah lelah. Tapi jika makan makanan rendah sodium maka arteri tak tersedak. Sehingga kita tidak gampang capek dan jadi lebih energik.",Berita Valid
"Alasan Kenapa Asam Lambung Naik saat Puasa, Cek di Sini!","Alasan Kenapa Asam Lambung Naik saat Puasa, mungkin jadi pertanyaan banyak orang terutama yang langganan mengalami asam lambung sehari-harinya. Ya, asam lambung naik memang salah satu kondisi kesehatan yang familiar dialami banyak orang. Tercatat, sekitar 10 sampai 48 persen orang di negara berkembang mengalami gejala refluks per mingguan. Umumnya, asam lambung dialami seseorang setelah makan besar atau berlemak, membuat jadi mengalami sensasi seperti terbakar atau nyeri di tenggorokan dan dada, mual, bahkan muntah. Lantas kenapa jika saat puasa, yang notabene tidak makan dan minum dalam waktu yang lama seharian tetap bisa mengalami asam lambung naik? Melansir We Fast We Care, Jumat (24/3/2023) memang saat berpuasa perut dalam keadaan kosong, tetapi masih memproduksi asam pencernaan yang digunakan untuk memecah makanan. Kadar asam lambung mulai naik karena tidak ada makanan yang menyerap asam yang biasanya terjadi dalam proses pencernaan. Kemudian, berlanjut asam berlebih ini mulai tumpah dan berpindah ke kerongkongan, menyebabkan rasa tidak nyaman dan rasa terbakar di dada dan tenggorokan. Itulah kenapa asam lambung naik saat kita berpuasa. Dalam beberapa kasus, puasa bisa meningkatkan refluks asam karena menurunkan kadar gula darah, yang meningkatkan laju pengosongan lambung. Namun di satu sisi, berpuasa juga bisa menurunkan resistensi insulin, yang menghasilkan penurunan berat badan dan kedua hal ini sama-sama bisa meredakan masalah gastroesophageal reflux (GER) alias naiknya isi perut ke kerongkongan.",Berita Valid
Ahli Epidemiologi Sebut Aturan Covid-19 Tak Perlu Diperketat di Musim Mudik,"PERAYAAN Hari Raya Idul Fitri di Indonesia, tidak bisa luput dengan tradisi mudik. Umumnya, di pekan terakhir bulan Ramadhan atau H-7 Lebaran, masyarakat sudah mulai melakukan perjalanan mudik. Kini, seiring dengan pemberlakuan pembatasan kegiatan masyarakat (PPKM) yang sudah dicabut. Jika dilihat dari situasi saat ini, apakah perlu pengetatan aturan kembali jelang musim mudik untuk mencegah gelombang infeksi Covid-19? Menariknya, menurut Ahli Epidemiologi Universitas Indonesia, dr. Pandu Riono aturan ketat tidak dibutuhkan lagi. Ia menilai kondisi pandemi Covid-19 di dalam negeri, relatif sudah terkendali dan aman. “Enggak, tidak perlu ada (aturan ketat Covid-19) karena PPKM sudah dihapus. Jadi sudah aman Indonesia,"" kata dr Pandu saat dihubungi MNC Portal, belum lama ini. Namun masyarakat diimbau jangan salah kaprah, dr. Pandu mengingatkan, bagi masyarakat yang mudik menggunakan alat transportasi umum, protokol kesehatan dasar seperti pakai masker dan vaksinasi tetap dilakoni. ""Kalau menggunakan transportasi umum (saat mudik), sebaiknya menggunakan masker. Harus lengkapi vaksinasi booster dan patuhi prokes. Penting untuk lengkapi vaksinasi sampai booster, dan kalau bepergian di tempat umum harus pakai masker,"" tegasnya.",Berita Valid
"Buka Puasa Jangan Kebanyakan Makan Gorengan, Ini 5 Bahayanya!","GORENGAN memang lezat dan mengundang selera. Bahkan rasanya kurang lengkap jika saat buka puasa tidak makan gorengan. Apalagi rasanya gurih, renyah, crunchy begitu menggugah selera untuk disantap. Namun Anda jangan berpura-pura tidak sadar terhadap bahaya mengkonsumsi makanan berminyak ini. Dikutip dari Eatthis.com, ada 5 efek samping dari keseringan makan gorengan saat buka puasa. Berikut ulasannya untuk Anda. 1. Risiko stroke dan serangan jantung. Asupan makanan yang digoreng sangat berkaitan dengan peningkatan risiko kejadian kardiovaskular utama. Dibandingkan dengan mereka yang makan gorengan paling sedikit setiap minggu,Kelompok yang makan paling banyak memiliki risiko 28% lebih tinggi terkena stroke dan serangan jantung . 2. Risiko penyakit kardiovaskular Mereka yang sering makan gorengan dapat meningkatkan 22 persen risiko penyakit jantung koroner. Gorengan dapat membuat tubuh kehilangan cairan dan menyerap banyak lemak minyak. 3. Bisa gagal jantung Orang yang sering mengonsumsi makanan digoreng memiliki risiko gagal jantung 37 persen lebih tinggi. Gagal jantung terjadi saat otot jantung tak dapat memompa darah yang dibutuhkan untuk membuat tubuh normal.4. Bikin gendut Kadar minyak berlemak dalam gorengan membuat penambahan berat badan yang signifikan. Penambahan berat badan membuat tubuh riskan terhadap penyakit yang dialami orang obesitas. 5. Terkena diabetes tipe 2 Orang yang makan gorengan 4-6 kali per minggu memiliki 39 persen peningkatan risiko terkena diabetes tipe 2. Bahkan yang makan gorengan lebih dari 7 kali seminggu memiliki 55 persen peningkatan risiko mengembangkan kondisi tersebut.",Berita Valid
"Jangan Remehkan, Pria Juga Bisa Kena HPV Penyebab Kanker Serviks!","SELAMA ini kanker yang banyak terjadi pada kaum hawa adalah kanker serviks. Penyakit yang disebabkan karena human papillomavirus (HPV) ini menjadi salah satu penyebab kematian akibat kanker pada perempuan selain kanker payudara. Namun tidak banyak diketahui orang, risiko terinfeksi HPV penyebab kanker serviks dan penyakit-penyakit lain seperti kutil kelamin, bukan cuma berisiko untuk perempuan, tetapi juga laki-laki. Spesialis Kandungan dan Ginekologi dr. Cindy Rani Wirasti, Sp.O.G. menjelaskan, HPV memiliki berbagai tipe, ada tipe berisiko tinggi yang menyebabkan kanker serviks, sementara tipe risiko rendah menyebabkan penyakit lain seperti kutil kelamin. Selain kanker serviks, HPV dapat menyebabkan kanker anal, kanker vagina, kanker orofaring, kanker penis dan kanker vulva. Pada laki-laki, aktivitas-aktivitas tertentu dapat meningkatkan risiko terinfeksi HPV, mulai dari memiliki banyak partner seksual, hingga tidak disunat. ""Ketika tidak disunat, ada kulit penis melipat dan bila kebersihan kurang terjaga bisa berisiko terinfeksi HPV,"" kata dr Cindy. Memiliki banyak partner seks, punya sejarah terkena infeksi menular seksual seperti pernah terkena sifilis, juga punya riwayat merokok.Adanya pergeseran budaya yang membuat hubungan seks anal antar lelaki kian meningkat juga bisa meningkatkan faktor risiko infeksi HPV terhadap kaum Adam. Salah satu cara untuk mencegah dan menghadapi infeksi HPV adalah dengan mendapatkan vaksin HPV. Vaksin ini bisa diberikan untuk perempuan dan laki-laki. Saat ini pemerintah menargetkan anak perempuan usia kelas 5 SD dan 6 SD sebagai penerima vaksinasi HPV yang masuk ke dalam program Bulan Imunisasi Anak Sekolah (SD). Vaksinasi HPV diberikan pertama kali untuk anak usia kelas 5 SD dan dosis kedua diberikan setahun kemudian.",Berita Valid
"Soal Pakai Masker atau Lepas, Ahli Epidemiologi: Penggunaan Masker Sifatnya Dianjurkan","SAAT ini penggunaan atau melepas masker jadi perdebatan, karena kegiatan di dalam atau di luar ruangan sudah memperbolehkan untuk lepas masker. Hal ini mendapat tanggapan dari ahli epidemiologi bahwa kini sifat masker sudah menjadi anjuran. Menurut Epidemiolog FKM Universitas Indonesia dr Iwan Ariawan MSPH, pakai masker atau lepas masker tidak lagi bersifat harus. Terlihat saat ini tidak ada lagi sanksi diberikan saat lepas masker.""Sebetulnya masker itu statusnya dianjurkan nyaman pakai masker, silakan masker tentunya berguna untuk mencegah tertular influenza, kita banyak nih flu dan tidak tertular TB dan sebagainya. Terus kemudian bukan berarti diharuskan dan ada sanksi itu kan tidak,"" kata dr Iwan kepada wartawan acara PPKM Award 2023 di Jakarta, Senin (20/3/2023). bNamun, Iwan menegaskan penggunaan masker di tempat atau fasilitas umum sudah seharusnya tetap dijalankan. Dengan tujuan melindungi diri dari berbagai penyakit infeksi.Ia menjelaskan, penggunaan masker bersifat anjuran. ""Jadi kembali ke masyarakat jadi masker tapi sarankan kalau di fasilitas kesehatan ya harus karena banyak berbagai penyakit Karena saat ini sifatnya anjuran bukan lagi keharusan karena sudah tidak ada lagi sanksi,"" jelas Iwan. Sementara itu, Menteri Kesehatan Budi Gunadi Sadikin merencanakan pertemuannya dengan WHO untuk membicarakan soal pandemi jadi endemi pada bulan ini. Ia berharap bisa segera ketemu WHO.",Berita Valid
"Pandemi Covid-19 Jadi Endemi, Ahli Epidemiologi: Kita Bisa Putuskan Sendiri, Tidak Tergantung WHO!","SOAL status pandemi Covid-19 jadi endemi, dinilai Indonesia bisa memutuskannya sendiri, tanpa harus menunggu WHO. Menurut Iwan Ariawan, Epidemiolog FKM Universitas Indonesia, keputusan untuk mencabut kegawatdaruratan itu, Indonesia bisa memutuskan sendiri tanpa harus tergantung dari organisasi kesehatan dunia (WHO). Label pandemi merupakan sebutan dari WHO untuk dunia. Sehingga pencabutan untuk kedaruratan Covid-19, kata Iwan, dari sisi epidemiologi sudah siap. Namun, tentu perlu pertimbangan lain dari pemerintah pusat, sebelum memutuskannya seperti dari sisi ekonomi, dan pengalihan kebijakan. ""Sebetulnya kan untuk kalau kita di dalam aturan hukumnya tidak menyatakan itu (pandemi) tapi kegawatdaruratan kesehatan masih ada sampai sekarang. BACA JUGA:Bahas Pencabutan Status Pandemi, Menkes Budi Segera Temui WHO Kalau dari kami epidemiologi sudah siap dicabut, tapi untuk pencabutan itu ada pertimbangan lain ekonomi dan pengalihan wewenang,"" ujar Iwan pada wartawan saat PPKM Award 2023 di Jakarta, Senin (20/3/2023). ""Perbedaannya kalau masih disebut kedaruratan masyarakat itu kendali di pusat juga budgeting di pusat. Kalau begitu dicabut kembali desentralisasi kita ada tanggung jawab kabupaten dan provinsi apakah sudah siap atau belum,"" jelasnya. Iwan menjelaskan, alasan Indonesia sudah siap mencabut sistem kedaruratan Covid-19 atau jadi endemi, terlihat dari hasil survei serologi waktu lalu. Sekitar 99% masyarakat sudah memiliki sistem antibodi, sebagaimana diketahui dampak dari vaksinasi Covid-19 dan infeksi alami. Namun keputusan itu ada pada Presiden Jokowi, negara bisa memutuskan sendiri. Namun untuk berkonsultasi ke WHO tentu diperbolehkan. Sehingga bukan WHO yang menentukan pencabutan Kegawatdaruratan Covid-19 di Indonesia, namun Pemerintah Indonesia sendiri.""Kita tidak tergantung pada WHO tapi kalau untuk berkonsultasi pada WHO ya boleh sebenarnya keputusan tergantung masing-masing dari negara tinggal, tunggu Presiden saja yang mencabut. Kalau dari kami epidemiolog sudah memberi pertimbangan secara epidemiolog bisa dicabut, ahli dan bidang lain ekonomi dan hukum ada pertimbangan lain sebelum Presiden memberikan keputusan terakhir,"" sambungnya. ""Tinggal menunggu keputusan Pemerintah Indonesia, sementara WHO kan mengurus dunia kita mengurus negara kita sendiri. Sebetulnya kita sudah siap kalau lihat hasil sero survei sudah 99% sudah memiliki antibodi terhadap Covid-19,"" beber Iwan. Hal ini menanggapi, Menteri Kesehatan Budi Gunadi Sadikin merencanakan pertemuannya dengan WHO untuk membicarakan soal pandemi jadi endemi pada bulan ini. ""Ketemu WHO bulan ini, doain ya,"" ungkap Menkes Budi kepada wartawan.",Berita Valid
"Mudik Saat Berpuasa, Dokter Gizi: Tetap Terhidrasi!","PUASA Ramadhan sudah dijalankan oleh seluruh umat muslim di Indonesia. Sebagian masyarakat kadang memilih mudik jelang akhir dari puasa Ramadhan. Menurut dr. Pande Putu Agus Mahendra, M.Gizi, Sp.GK sebagai Dokter Gizi, tradisi mudik ini umum terjadi. Namun untuk tetap sehat saat berpuasa dan mudik, masyarakat harus tetap terhidrasi. Mengingat cuaca saat ini, dinilai pancaroba atau terkadang hujan/panas. Ia mengatakan, hal itu bisa memicu lebih mudah merasa haus. ""Saat ini kan lagi musim pancaroba jadi harus diingat, kalau orang mau mudik yang masih berpuasa sebenarnya yang terjadi kan kondisi tubuhnya akan lebih mudah capek. Terus juga terkena sinar matahari, akhirnya dehidrasi itulah yang menjadi masalah,"" jelas dr Pande. Sehubungan dengan ini, dr Pande memberikan tips agar tetap sehat, alias sistem imun terjaga. Dengan konsumsi makanan sehat, seperti sayur dan buah-buahan. Menurutnya, gizi seimbang adalah pilihan terbaik. Ditambah, penuhi cairan tubuh dengan air minum bukan minuman macam-macam, terutama rasa manis. ""Kalau mau mudik pastikan makan gizi seimbang banyak buah-buahan dan sayur-sayuran, minum cukup putih bukan minum-minuman yang manis-manis sudah cukup menjaga imunitas kita,"" imbuh dr Pande. Sekadar informasi, Isi Piringku secara umum, menggambarkan porsi makan yang dikonsumsi dalam satu piring yang terdiri dari 50 persen buah dan sayur, dan 50 persen sisanya terdiri dari karbohidrat dan protein. Makanan pokok dimaksud bukan hanya nasi, melainkan juga bisa divariasikan dengan kentang, singkong, jagung, sagu, ubi, dan lain-lain. Sedangkan lauk-pauk, anda bisa berupa protein hewani daging sapi/ayam/unggas, ikan, telur, serta protein nabati tahu, tempe, dan produk olahannya. Sementara sayur dan buah untuk si Kecil bisa berupa sawi, bayam, pepaya, jeruk, dan sebagainya.",Berita Valid
"Jangan Remehkan Insomnia, Bisa Bikin Imunitas Turun!","SUSAH tidur saat tengah malam sering disebut sebagai insomnia. Kondisi seseorang yang memiliki masalah dengan kebiasaan waktu tidur dan tidak memiliki tidur yang berkualitas. Bagi kita insomnia hal yang lumrah terjadi, apalagi bagi mereka pekerja dalam tekanan dan sampai larut malam. Namun menurut dr. Rimawati Tedjasukmana, Sp.S, RPSGT sebagai Dokter Spesialis Saraf,tidur sangat berpengaruh pada kesehatan secara menyeluruh. Jika kurang tidur atau insomnia ada dampak tidak bisa disepelekan mulai dari gangguan ingatan, penyakit jantung, depresi, gangguan sistem kekebalan tubuh (imunitas), diabetes, obesitas dan sebagainya. ""Jadi kalau tidurnya tidak berkualitas atau tidak bisa tidur bisa cemas, depresi bisa jadi pelupa karena ada berhubungan dengan memori. Jangka panjangnya bisa terganggu imunitasnya, gampang sakit bisa menyebabkan kanker karena berkaitan dengan imunitas,"" ungkap dr Rimawati. ""Penyakit jantung berhubungan sekali dengan tidur. Diabetes dan obesitas juga berhubungan sekali orang yang kurang tidur. Sebab cenderung akan lebih banyak makan (saat malam hari), kita biasanya begadang dan jadi lapar karena kekurangan tidur,"" jelasnya. Jika melansir dari Healthline, insomnia umum juga disebut gangguan tidur, yang bisa dikenali dengan gejala -gejala sebagai berikut, mulai dari bangun terlalu pagi dan menemukan diri Anda tidak dapat tertidur kembali. Menghabiskan banyak malam berbaring terjaga, khawatir tidak akan tertidur. Kemudian, pola konsisten dari tidur yang terganggu atau rusak tidak menyegarkan Anda, dan kesulitan tidur setelah tidur di malam hari. Dengan demikian, kita harus memahami apa dampak dari insomnia bagi kesehatan.Perlu dipahami, ada dua jenis insomnia yaitu primer dan sekunder. Insomnia primer merupakan kondisi masalah tidur yang tidak terkait dengan kondisi atau masalah kesehatan lainnya. Sementara insomnia sekunder, berarti Anda mengalami kesulitan tidur karena kondisi kesehatan (seperti asma, depresi, radang sendi, kanker atau sakit maag), obat atau penggunaan zat (seperti alkohol). Apabila memiliki masalah tidur seperti insomnia disarankan berkonsultasi dengan dokter. Dokter akan melakukan pemeriksaan fisik dan menanyakan tentang riwayat kesehatan dan riwayat tidur Anda. ""Mereka mungkin meminta untuk membuat buku harian tidur selama satu atau dua minggu, melacak pola tidur Anda dan bagaimana perasaan sepanjang hari. Mereka mungkin berbicara dengan pasangan tidur tentang seberapa banyak dan seberapa baik Anda tidur, atau juga bisa menjalani tes khusus di pusat tidur,"" keterangan dalam WebMD.",Berita Valid
Hasil Seleksi Jalur SNBP Bakal Diumumkan Besok Pukul 15.00 WIB," Pengumuman hasil seleksi jalur Seleksi Nasional Berdasarkan Prestasi (SNBP) Seleksi Nasional Penerimaan Mahasiswa Baru (SNPMB) tahun 2023 akan segera dilakukan. Pengumuman bagi calon mahasiswa baru (camaba) di Perguruan Tinggi Negeri (PTN) tersebut bakal diumumkan pada Selasa (28/3/2023) pukul 15.00 WIB. ""Nah, besok 28 Maret yang akan kita umumkan 1500 wib, berarti kawan kita yang di timur pukul 17.00 WIB,"" ujar Ketua Umum SNPMB M Ashari dalam paparannya di Kemendikbudristek, Senin (27/3/2023). Pada tahun kali ini PTN yang membuka seleksi SNBP mengalami kenaikan. ""Jumlah PTN yang terlibat pada tahun 2022 sebanyak 125, dan pada 2023 mengalami kenaikan menjadi 137 PTN,"" kata dia. Pada SNBP kali ini, dia melanjutkan, tercatat sebanyak 663.181 peserta yang ikut mendaftar. Hal ini, juga mengalami kenaikan jika dibandingkan tahun 2022 yang berjumlah 612.049.Sebagai informasi, Pendaftaran Seleksi Nasional Berdasarkan Prestasi (SNBP) ini dibuka pada Selasa (14/2/2023).",Berita Valid
"Sebagai informasi, Pendaftaran Seleksi Nasional Berdasarkan Prestasi (SNBP) ini dibuka pada Selasa (14/2/2023).","BANJARMASIN - Pembebasan skripsi atau tugas akhir bagi mahasiswa berprestasi nasional sebagai bentuk apresiasi untuk mereka yang mengharumkan nama kampus menjadi wacana di Universitas Lambung Mangkurat (ULM) di Kalimantan Selatan. ""Adanya rencana untuk pembebasan skripsi ini masih didiskusikan baik di level pimpinan fakultas maupun rektorat,"" kata Wakil Rektor Bidang Kemahasiswaan dan Alumni ULM Muhamad Rusmin Nuryadin di Banjarmasin dilansir dari Antara. Dia menegaskan, mahasiswa yang menjadi juara nasional sudah selayaknya diapresiasi tinggi termasuk jika dimungkinkan pembebasan skripsi sebagai bentuk nyata komitmen kampus memberikan penghargaan. Hal ini diharapkan bisa menjadi motivasi bagi seluruh mahasiswa ULM agar semangat mengejar prestasi dari segala bidang baik akademik maupun nonakademik. Apresiasi, kata dia, tentunya juga disesuaikan dengan prestasi yang diraih misalnya juara tingkat universitas, tingkat wilayah, nasional hingga level dunia. ""Jadi apresiasi diharapkan tidak hanya berupa uang, namun juga bisa berupa konversi SKS, bahkan hingga pembebasan skripsi,"" kata dia. Dia menuturkan, apresiasi serupa juga dicanangkan untuk para dosen yang menjadi pembimbing mahasiswa dalam setiap ajang kompetisi diikuti anak didiknya. Dirinya mendorong lebih banyak mahasiswa bisa berprestasi di tingkat nasional, sehingga sistem pemeringkatan mahasiswa akan lebih baik lagi di tahun ini yang semakin mengokohkan ULM sebagai PTN klaster mandiri alias terbaik bersama 40 perguruan tinggi top Indonesia dalam klasterisasi perguruan tinggi tahun 2023. Misalnya, pada ajang Olimpiade Nasional Matematika dan Ilmu Pengetahuan Alam (ON-MIPA) tahun 2023, ULM telah menggelar seleksi diikuti sebanyak 184 mahasiswa terdiri dari 43 orang di bidang Matematika, 56 orang di bidang Biologi, 44 orang di bidang Kimia, dan 41 orang di bidang Fisika. Di mana seluruh peserta kemudian disaring menjadi lima orang di masing-masing bidang yang akan dikirimkan sebagai perwakilan ULM untuk seleksi tingkat wilayah.",Berita Valid
"Tawuran Marak Saat Ramadhan, Ini Solusi dari Pengamat Sosial UI"," Kehadiran polisi harus diperkuat hingga tingkat Rukun Warga (RW) untuk mencegah maraknya tawuran pada saat bulan Ramadan. Pengamat Sosial Universitas Indonesia (UI), Devie Rahmawati menuturkan, Polda Metro Jaya juga telah menempatkan anggotanya hingga di lingkungan masyarakat terkecil hingga RW. Hal ini diharapkan bisa meningkatkan keamanan terutama mencegah tawuran. “Jadi ini semakin diperkuat saja, karena setahu saya juga di Jakarta oleh Polda Metro Jaya sudah ada yang namanya polisi RW sampai sudah di tingkat RW,” ungkap Devie dikutip dalam keterangannya. Sebenarnya, kata dia, angka tawuran di Jakarta menurun hampir setahun belakangan. Apalagi, setelah Polda Metro Jaya menurunkan personilnya hingga di lingkungan terkecil masyarakat. “Kemarin sebenarnya hampir setahun ini, angka tawuran di Jakarta turun, berkat Polda Metro Jaya melakukan program yang disebut dengan ada Polisi, dimana Polisi akhirnya masuk ke lingkungan-lingkungan terkecil bekerjasama dengan RT RW untuk kemudian memastikan paling tidak angka tawuran ini tidak memuncak kembali,” katanya. Pengajatr aktif di UI itu menuturkan bahwa pola tawuran khususnya pada saat bulan Ramadan sudah terlihat. Sehingga, diharapkan para aparat Kepolisian bisa mencegah tawuran khususnya di wilayah rawan. “Kalau dilihat polanya kan sebenarnya sudah ketahuan, biasanya apa namanya setelah sahur berakhir, ketika orang-orang dewasa mungkin masih mempersiapkan diri untuk bekerja dan sebagainya dan kalau lagi tidak sekolah di situ kan situasi-situasi rawan gitu,” ungkap dia.Dirinya juga meminta agar mengaktifkan Sistem Keamanan Lingkungan (Siskamling) ataupun memperkuat jaringan komunikasi. Apalagi saat ini sudah semakin dipermudah dengan kehadiran WhatsApp Group sehingga penyampaian informasi semakin mudah dan cepat. “Memang perlu diciptakan misalnya kembali Siskamling bersama, lalu juga mengaktifkan jaringan komunikasi yang sekarang sebanyak dipermudah dengan kehadiran WA grup sehingga kemudian aparat juga bisa terbantu untuk bisa dengan cepat misalnya datang ke setiap lokasi yang memang berpotensi untuk melakukan aksi kekerasan oleh remaja di sana,” kata dia.",Berita Valid
Pengumuman! Penerimaan Mahasiswa Baru STIE Indonesia Jakarta Telah Dibuka," Untuk kamu yang akan lulus SMA ataupun sekolah kejuruan dan ingin melanjutkan ke perguruan tinggi, tentunya memilih kampus yang berkualitas. Apalagi program studinya sudah terakreditasi A dan pastinya punya fasilitas yang lengkap serta profesional. Selain kampus berkualitas, lokasi yang strategis juga akan jadi penentu memilih perguruan tinggi. Ditambah lagi biaya kuliahnya sangat terjangkau. Semua itu sudah jadi paket komplit saat kamu memilih kampus. Nah, STIE Indonesia Jakarta punya semuanya! PTS terbaik di Jakarta Timur ini juga menawarkan jenjang studi lanjutan, dari D3 ke S1 atau S1 ke S2. STIE Indonesia Jakarta merupakan pioneer pendidikan Akuntansi dan Manajemen sejak 52 tahun lalu. STIE Indonesia Jakarta telah mencetak lebih dari 30.000 alumni di seluruh Indonesia, memiliki 100 lebih dosen-dosen yang profesional dan kompeten di bidangnya. Kamu juga semakin nyaman berkuliah dengan sarana dan prasana yang sangat lengkap untuk menunjang kegiatan perkuliahan. Ditambah lagi, STIE Indonesia Jakarta ini memiliki banyak beasiswa dan lebih dari 50 perusahaan/instansi telah bekerja sama dengan STIE Indonesia Jakarta baik dalam maupun luar negeri. Kurikulum yang ada di STIE Indonesia Jakarta dirancang berbasis kompetensi dengan mengacu pada Kerangka Kualitas Nasional Indonesia (KNKI) sehingga relevan dengan kebutuhan dunia kerja, terutama untuk pengembangan karir lulusan dibidang Akuntansi, Manajemen, Keuangan dan Bisnis. STIE Indonesia Jakarta memiliki dua sesi perkuliahan yaitu kelas pagi dan kelas malam. Jadi bagi yang sedang bekerja atau ingin kuliah sambil kerja bisa tinggal pilih sesi perkuliahannya sesuai dengan yang diingikan. Untuk menunjang minat dan bakat mahasiswa, STIE Indonesia Jakarta memiliki banyak Unit Kegiatan Mahasiswa yang bisa mahasiswa ikuti untuk mengeluarkan ide-ide, hobi, serta talenta yang dimilikinya. Tentunya masih banyak lagi keunggulan dari STIE Indonesia Jakarta. Saat ini STIE Indonesia Jakarta sudah membuka Penerimaan Mahasiswa Baru Tahun Akademik 2023/2024. Ayo wujudkan mimpimu dengan kuliah di STIE Indonesia Jakarta! Untuk pendaftaran via online bisa melalui pmbonline.stei.ac.id atau Instagram @pmbstieindonesia, dan melalui Whatsapp 0812-1366-6914 (PMB 1), 0821-2392-9661 (PMB 2), 0821-2392-9663 (PMB 3). Jangan lupa juga untuk terus update berita seputar STIE Indonesia Jakarta melalui sosial media Instagram, Facebook, dan Youtube dengan akun stieindonesiajakarta atau website www.stei.ac.id.",Berita Valid
Hasil SNBP 2023 Diumumkan Besok," Tim Seleksi Nasional Penerimaan Mahasiswa Baru (SNMPB) Perguruan Tinggi Negeri (PTN) berencana untuk mengumumkan hasil Seleksi Nasional Berdasarkan Prestasi (SNBP) tahun 2023. Pengumuman sendiri akan dilakukan secara luring bagi media massa pada Selasa (28/3/2023) pukul 13.00 WIB. Pengumuman akan digelar secara langsung di Youtube SNPMB BPPP atau akun Instagram @_snpmbbppp. Diketahui, Pemerintah menggelar Seleksi Nasional Berdasarkan Prestasi tahun 2023. SNBP sendiri merupakan salah satu bagian dari jalur seleksi PTN yakni SNPMB 2023. Penilaian pada jalur seleksi ini berdasarkan nilai akademik atau nilai akademi dan prestasi lainnya yang ditetapkan oleh masing-masing PTN. Seleksi masuk perguruan tinggi negeri tahun 2023 diselenggarakan oleh Tim Seleksi Nasional Penerimaan Mahasiswa Baru (SNMPB) Perguruan Tinggi Negeri (PTN).",Berita Valid
"Mengenal Al-Jazari, Ilmuwan Muslim yang Dijuluki Bapak Robot Dunia"," Robot bukanlah suatu hal yang asing lagi di era saat ini. Banyak orang yang memanfaatkan teknologi robot untuk membantu pekerjaan sehari-hari. Namun, ternyata robot telah diciptakan sejak masa kekhalifahan islam. Al-Jazari merupakan tokoh besar di bidang mekanik dan industri. Keahliannya dalam membuat robot membuat dia dijuluki sebagai Bapak Robot dunia oleh masyarakat. Berkat keahliannya dalam menciptakan benda yang bergerak secara otomatis membuat banyak raja Turki kagum dan percaya kepadanya. Banyak dari mereka yang meminta Al-Jazari untuk membuat alat mekanik seperti jam, air mancur, penyedot air dan lainnya. Al-Jazari memiliki sifat yang cerdas dan kreatif. Hal ini dibuktikannya dengan membuat robot band dimana robot tersebut berfungsi untuk menghibur masyarakat. Ia juga menciptakan robot humanoid. Robot humanoid merupakan robot yang berpenampilan menyerupai manusia. Penemuan Al-Jazari lainnya yang terkenal adalah jam gajah dan teknologi pengairan. Penemuan-penemuan Al-Jazari menjadi sebuah kemajuan peradaban islam pada masa pertengahan. Al-Jazari mampu menuliskan dan menggambar temuan-temuannya. Salah satu buku yang berjudul Kitab Fi Ma’rifat Al-hiyal Al-Handasiyya merupakan salah satu buku yang ditulis dan digambar secara rinci oleh dia. Dikalangan ilmuwan dan insinyur, buku yang ditulis oleh Al-Jazari masih relevan untuk digunakan di zaman ini. Bahkan naskah yang ia tulis dalam bahasa Arab masih bisa kita temukan di Oxford, Dublin, London dan beberapa tempat di Eropa.",Berita Valid
