judul,narasi,label
Universitas Muhammadiyah Kupang Bantah Akan Menginisasi Gerakan #GantiPresiden2019,"Terkait salah satu dosennya menjadi insiator Gerakan #GantiPresiden2019 di Kabupaten Manggarai Barat, Nusa Tenggara Timur (NTT), pihak Universitas Muhammadiyah Kupang (UMK) membantah bahwa kampusnya terlibat dalam gerakan tersebut.",Berita Palsu
PKS dan Gerindra Purwakarta Bantah Pasang Spanduk yang Dinilai Provokatif,Kami Caleg Partai Gerindra dan PKS Menolak Khilafah. Indonesia Damai Menolak Khilafah di Wilayah Purwakarta. Barisan Muda Muslim Purwakarta.,Berita Palsu
Pengoperasionalan Kereta Bandara,"Buat teman2 yang ada kunjungan ke Jakarta, sejak 17 Agustus 2017 sudah ada transportasi kereta api dari bandara Soekarno-Hatta..?",Berita Palsu
Tusuk Gigi Sebarkan HIV AIDS,Tusuk Gigi Sebarkan HIV AIDS,Berita Palsu
Penjelasan KPU Gowa terkait Baliho Surat Suara yang Tidak Mencantumkan Foto Capres-Cawapres Prabowo-Sandi,"Hari ini
Pemasangan baliho contoh surat suara Pilpres 
oleh KPU
Di Kec Bontonompo Kab Gowa
Mana foto capres cawapres 02?
Luar Biasa KPU Gowa
Kalian sudah mencederai demokrasi",Berita Palsu
Kementan Bantah Siluet Wajah yang Ada Dibungkus Plastik Bertuliskan Beras Segar dan Toko Tani Indonesia ialah Presiden Jokowi,"“Gambar atau foto yang tertera pada kemasan beras Toko Tani Indonesia adalah bukan foto Presiden RI Bapak Jokowi. Itu foto model staf Kementan di Biro Umum dan Pengadaan Kementan, Mas Agus Faizal,” kata Kepala Biro Humas dan Informasi Publik Kementan, Kuntoro Boga Andri, Selasa (25/9).",Berita Palsu
Dinkes Aceh Membantah Atas Isu Pelajar Lumpuh Setelah Vaksin MR,"“Itu secara kebetulan. Tidak berhubungan dengan imunisasi. Ini penyakit sendiri bukan efek dari vaksin MR,” ujarnya.",Berita Palsu
: Maradona Bantah Kabar Dirinya Meninggal Usai Laga Argentina vs Nigeria Pada Piala Dunia 2018,: Maradona Bantah Kabar Dirinya Meninggal Usai Laga Argentina vs Nigeria Pada Piala Dunia 2018,Berita Palsu
Penjelasan Terkait Berita Muslim Cyber Army yang Tidak Sesuai Standar,"Berdasarkan peninjauan internal redaksi, ditemukan fakta bahwa editor terburu-buru dalam mengunggah artikel tersebut. Sehingga, mengabaikan standar yang ditentukan terutama terkait dengan cover bothside. Termasuk, untuk selektif dalam mencari narasumber karena telah menjadikan akun anonim sebagai rujukan utama.",Berita Palsu
"Teror Kiai di Ponpes Kediri Hoax, Ini Cerita Sebenarnya","Teror Kiai di Ponpes Kediri Hoax, Ini Cerita Sebenarnya",Berita Palsu
Penganiayaan Ulama di Bogor,"Utk Kesekian kalinya terjadi Penganiayaan thdp Ulama2 di JaBar…😖😢
 Hr ini Ulama Bogor, Ust.sulaiman dibacok orang gila di bogor…😤
 Umat ISLAM Rapatkan Barisan.. Always Waspada…💪🏻💪🏻💪🏻
 #Waspada
 #SaveUlama
 #HasbunallahWanimalWakiiil…🙏😭",Berita Palsu
Bahaya Makan Rambutan Sambil Minum Teh Manis Sebabkan Penyumbatan Saluran Pernapasan,Bahaya Makan Rambutan Sambil Minum Teh Manis Sebabkan Penyumbatan Saluran Pernapasan,Berita Palsu
Indonesia Gagal Wujudkan Swasembada Pangan,Pemerintah rencana impor beras 1 juta ton = Indonesia gagal swasembada,Berita Palsu
Update Status Terkait Penutupan Beberapa Destinasi Wisata di DIY,"Kita sudah komunikasikan dengan Kementerian BUMN dan sesuai dengan ajakan Presiden Jokowi, bahwa TWC akan berlakukan penutupan bagi pengunjung,",Berita Palsu
Klarifikasi KPU Terkait Pernyataan Ustaz Haikal Hassan Mengenai 13 Juta Pemilih yang Gila,"Mohon maaf, pak @haikal_hassan. Pemilih “gila” itu hoax. Yg benar, sesuai Putusan MK 135/2015 adalah pemilih dg “gangguan jiwa/ingatan”. Gila hanya salah satu jenisnya. Lagipula angkanya juga hoax. Dulu 14 juta. Sekarang didiskon jadi 13 juta. Yg benar hanya 54.295. Demikian",Berita Palsu
15 Kotak Suara DPRD Jambi Dibakar OTK,"Berita Pagi ini di TV One, Berhubung 02 unggul di Jambi, Kardus KPU dibakar Oleh oknum untuk menghilangkan bukti C1
Sekarang sudah pahamkan kenapa kotak suara dari kardus?",Berita Palsu
Indo Barometer Bantah Buat Hasil Survei Pilpres 2019 antara Jokowi dan Prabowo,"“Secara tegas Indo Barometer menyatakan meme hasil survei Pilpres 2019 tersebut hoax alias tidak benar. Kami dari Indo Barometer mengklarifikasi, bahwa data tersebut tidak benar dan bukan bersumber dari Indo Barometer,” ujar Direktur Eksekutif Indo Barometer, M. Qodari, Minggu (12/8).",Berita Palsu
Tulisan #2019gantipresiden di Struk Pembayaran Ayam Geprek Eskom,"[…]Kami klarifikasi sekali lagi,Tulisan #2019gantipresiden merupakan inisiatif oknum karyawan yg punya hak di mesin kasir,bukan dr pihak owner.[…]",Berita Palsu
: LSF Mengklarifikasi Terkait Pemotongan 7 Menit Durasi Film Avengers Infinity War,LSF Mengklarifikasi Terkait Pemotongan 7 Menit Durasi Film Avengers Infinity War,Berita Palsu
"Yang Nangkap Polisi Kamboja, yang Ribut Netizen Indonesia","Yang Nangkap Polisi Kamboja, yang Ribut Netizen Indonesia",Berita Palsu
: Baliho Red Army di Kota Malang Adalah Simbol Kebangkitan PKI,"Red Army itu kalau orang melihat itu kan identik dengan komunis. Identik dengan satuan di Uni Soviet, di Vietnam maupun di China",Berita Palsu
Polri Minta Kominfo Blokir Situs SkandalSandiaga.com,"“Kita sudah komunikasi dengan Kemenkominfo untuk memblokir situs tersebut ya,” kata Kabid Humas Polda Metro Jaya, Kombes Argo Yuwono, Selasa (25/9).",Berita Palsu
Sandi Sarankan Warga Ngadu ke Kelurahan Saja,Astaga! Sandiaga Sarankan Warga Ngadu ke Kelurahan Saja Tak Perlu ke Balai Kota ,Berita Palsu
"Irina, Istri Ahli IT Hermansyah disebut Mantan PSK","Irina, Istri Ahli IT Hermansyah disebut Mantan PSK",Berita Palsu
"Nezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian Tandjung","Nezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian Tandjung",Berita Palsu
Video Jokowi Bagi-Bagi Duit 2016 Dipelintir,"Dari penelusuran yang dilakukan Jawa Pos, video itu sebenarnya sudah lama. Sejak 2016 sudah beredar di media sosial.",Berita Palsu
Ketika Emosi Dominasi Politik,"Ketika Emosi Dominasi Politik

",Berita Palsu
"Bahasa Jepang Ike Dikonotasikan sebagai kata Komunis, Sipit, PKI dan LGBT","Awas! Untuk orang tua yang memiliki putra dan putri yang sudah remaja dan beranjak dewasa, bekali dan bentengi putra-putri Anda denga ilmu Agama jika tidak ingin putar-putri Anda terjerumus ke dalam jurang kehancuran yang salah satunya adalah “IKEH-IKEH”…
 Colek KOMUNIS
 Hmmm matanya sipit…!!!!!",Berita Palsu
"Anies Kalah, Muslim Marah, Siap Revolusi","Tanpa rekam jejak yang bagus…
 Tanpa program yang nyata…
 Isu SARA lah yang jadi ujung tombak kampanye…
 Dan…
 TAK SIAP KALAH pulak….",Berita Palsu
BKD Provinsi Papua Tidak Pernah Janjikan Jatah Penerimaan CPNS 2018,Saya dan staf di BKD Papua tidak pernah meminta uang untuk menjanjikan jatah dalam penerimaan CPNS.,Berita Palsu
: Penerapan Sistem Ganjil Genap di Tol Cikampek,rencana membatasi kendaraan berdasarkan pelat nomor ganjil-genap di Tol Jakarta-Cikampek akan diuji coba pada Selasa (22/8/2017). Uji coba sistem tersebut hanya dilakukan pada pagi hari.,Berita Palsu
Pemerintah dengan asik duduk dikursi diskusi dan bilang...,"Bantu #Viraklan lagi ya sob !!! Kita Rakyat Indonesia Harus Tau mereka yg Rakus2 Dunia lagi lagi #MenindasWongCilik.
Sakit Hati ini melihat saudara2 kita diperlakukan seperti itu oleh penguasa Rakus. Mreka seblumnya hidup damai sbgai petani, tapi lihat saat ini, tak ada kedamaian lagi disana. ????",Berita Palsu
Demokrat: Iklan Jokowi di Bioskop Mengganggu Hak Konsumen,Demokrat: Iklan Jokowi di Bioskop Mengganggu Hak Konsumen,Berita Palsu
MUI Ajak Masyarakat Tak Ragu untuk Vaksin MR,"MUI Pastikan Vaksin Rubela Positif Mengandung Babi dan Organ Manusia, Ini Penjelasan Resminya",Berita Palsu
Setidaknya 70 tewas dalam serangan militer Afghanistan di masjid,"TAK ADA BERITA DI TV,TAK ADA SUARA HAM,TAK ADA SUARA INTOLERAN,TAK ADA SUARA HAM TAPI KAMI PUNYA ALLAH SWT",Berita Palsu
Ahoker dan Jokwer Akan Marah Besar Jika di Katakan PKI Bangkit Lagi,"Ahoker dan Jokwer akan marah besar jika di katakan PKI bangkit lagi….!
 Wahai saudaraku… Mari kita waspada..!",Berita Palsu
"Punya Pistol FN Saja Sudah Berani Begini Kepada TNI, ...","Punya Pistol FN saja sudah berani begini kepada TNI, apa lagi sudah punya RPG, senjata anti tank, bisa2 Polisi melakukan kudeta.”",Berita Palsu
Ujaran Kebencian Untuk Etnis China Yang Mengatasnamakan Sultan Hamengkubuwono X,"Sri Sultan Hamengkubuwono : Maaf Bukan SARA, Tapi Cina Dan Keturunannya Tidak Pantas Jadi Pemimpin Di Bumi Nusantara. Fakta Sejarah, Tionghoa Adalah Satu-Satunya Penghianat Negara Kesatuan Republik Indonesia (NKRI).",Berita Palsu
MASTEL Turut Optimalkan Peran Stakeholder Sektor Telematika Dalam Melawan Penyebaran Hoax,"Masyarakat Telematika Indonesia (MASTEL) memandang momen Aksi Turn Back Hoax yang akan diselenggarakan oleh Masyarakat Anti Fitnah Indonesia (Mafindo) secara serentak di 7 Kota pada hari Minggu, 8 Januari 2017, memiliki makna yang penting. Sebab, aksi ini akan melibatkan masyarakat secara terbuka dan mengedepankan peran masyarakat sebagai pelaku sentral dalam membangun kondusivitas kehidupan bermasyarakat, berbangsa dan bernegara",Berita Palsu
Klarifikasi terkait Video Viral Pagar Masjid Istiqlal yang Ditutup,Ada apa dgn rezim ini… Dl masjid istiqlal terbuka luas utk umat muslim maupun non muslim yg ingin beribadah maupun berwisata dr daerah2 maupun dr luar. Tp skrg pintu pagar masjid mulai membatasi umat utk msk kedlm masjid…,Berita Palsu
Kak Seto Tidak Mengisi Acara di Sampoerna Academy,"Atas pertanyaan masyarakat kepada Lembaga Perlindungan Anak Indonesia (LPAI) beberapa hari yang lalu tentang sebaran Whatsapp berisikan kabar Kak Seto akan mengisi acara di Sampoerna Academy, pihak LPAI memberikan klarifikasi.",Berita Palsu
"The Family MCA dan Saracen, Bisnis Hoaks Serupa tetapi Tak Sama","The Family MCA dan Saracen, Bisnis Hoaks Serupa tetapi Tak Sama",Berita Palsu
: Bahaya Memakan Kepala Ikan Karena Mengandung Racun Ciguatoksin,Bahaya Memakan Kepala Ikan Karena Mengandung Racun Ciguatoksin,Berita Palsu
Februniye Walikota Kristen Pertama Di Kota Mardin yang Mayoritas Warganya Beragama Islam,"Di dalam pemberitaannya, portal okterus.com mengatakan bahwa Kota Mardin, Turki memiliki Walikota Kristen perempuan pertama, yakni Februniye Akyol.",Berita Palsu
"Jokowi Bantu Laos Bangun Infrastruktur, Ketika Jembatan-Jembatan di Indonesia Masih Meprihatinkan","Mohon pencerahan yg berita Sindo.
 
 Trus yg gambar Jembatan, lokasi dmn???apa sampai saat ini masih seperti itu??? tanpa penanganan dr pemerintah setempat.",Berita Palsu
Dokumentasi Dinding Berlapis Emas Freeport,"Lihatlah didalam perut bumi di tanah Papua, dinding berbatu berlapis emas itu bukan cat tembok, bukan pula di studio film tapi inilah kegiatan setiap hari karyawan Freeport selama puluhan tahun.",Berita Palsu
: Waspada SCAM Pesan Berantai Video Call Whatsapp,"[SCAM] Beredar broadcast aktivasi feature video call dengan pesan: “*Wow ! New Whatsapp Video calling Version is leaked with HD quality and many More features, Click on below link to Download !*",Berita Palsu
Wakapolri Tidak Pernah Beri Pernyataan Terkait Pilkada Kota Makassar 2018,"Tidak ada, berita itu hoaks. Polri netral, apalagi saya.",Berita Palsu
"Anggaran Tempat Sampah Jerman Rp 9,58 M, Dinas LH DKI Buka Suara","”Setelah melakukan pertimbangan secara teknis, kami pilih produk Jerman 
dengan pertimbangan kualitas,” ucap dia. Isnawa pun menyebutkan garbage 
bin yang dipesan telah memiliki sertifikat standardisasi kelas dunia 
EN-840.",Berita Palsu
Arseto Pariadji Menyerahkan Diri ke Polisi,Arseto Pariadji Menyerahkan Diri ke Polisi,Berita Palsu
Bisnis Gelap di Balik Like di Facebook,"Begitu halamannya telah mengumpulkan ribuan “like” dan komentar, maka halaman itu akan memiliki posisi tertinggi dalam News Feed para pengguna Facebook. “Like” bagaikan mata uang bagi situs tersebut",Berita Palsu
: Arti Saracen yang Dipakai Sindikat Penyebar Kebencian,Arti Saracen yang Dipakai Sindikat Penyebar Kebencian,Berita Palsu
Indonesia Tidak Ikut Aliansi Negara Islam Menyaingi NATO,Menyedihkan…INDONESIA sbg negara mayoritas muslim terbesar di dunia tdk ikut dlm koalisi tentara islam dunia menyaingi NATO nya kafir.pdhl 34 negara sdh bergabung termasuk malaysia di dalamnya…memalukan,Berita Palsu
Koreksi Post Empat Ton Telur Bansos Pemprov Jabar Membusuk,Berkaitan juga dengan koreksi sebelumnya di: “[BERITA] Perkembangan Informasi Empat Ton Telur Bansos Pemprov Jabar Membusuk di Gudang Penyimpanan Bulog Garut” https://bit.ly/2WWv877 Tim Redaksi dan Pemeriksa Fakta MAFINDO memohon maaf atas ketidaknyamanan yang ditimbulkan. Selengkapnya di bagian PENJELASAN dan REFERENSI.,Berita Palsu
Klarifikasi Polres Bogor Terkait Pembuatan SIM Tanpa Tes Rp. 150 Ribu di Acara Millenial Road Safety Festival,"Benar Ada Cara Millenial Road Safety Festival Polres Bogor hari Minggu Tanggal 3 Maret 2019, tapi tidak ada pembuatan SIM tanpa tes, hanya ada Pelayanan SIM Keliling khusus Perpanjangan SIM,",Berita Palsu
MenPAN-RB Bantah Maju sebagai Caleg,Asman justru membantah,Berita Palsu
Manajemen Garuda Indonesia Tegaskan Tidak Ada Penjualan atau Penawaran Saham kepada Perusahaan China,"Berita tersebut sama sekali tidak benar,",Berita Palsu
KURSI DI GBK RUSAK PARAH PASCA LAGA INDONESIA VS ISLANDIA,"VIRALKAN! BARU DIRESMIKAN, SUPORTER TIMNAS RUSAK KURSI SUGBK MINGGU MALAM
#nowupdate @depasarnow
Tingkah dan Ulah Suporter Timnas Indonesia yang tak Pantas Ditiru
Sedih ngeliat foto-foto ini, beberapa oknum suporter nampak tidak menggunakan dan menghargai fasilitas Stadion Utama Gelora Bung Karno yang saat ini tampilan barunya mewah dan cantik, tidak kalah dengan stadion-stadion Eropa.",Berita Palsu
Polisi Laporkan 30 Akun Penyebar Hoax Girder Flyover Tol Ambruk,Polisi Laporkan 30 Akun Penyebar Hoax Girder Flyover Tol Ambruk,Berita Palsu
: Penjelasan BPOM Terkait Hoax Serta Isu Mengenai Makanan,Penjelasan BPOM Terkait Hoax Serta Isu Mengenai Makanan,Berita Palsu
"The Habibie Center, Drone Emprit: Breaking the chambers walls","The Habibie Center, Drone Emprit: Breaking the chamber’s walls",Berita Palsu
: Tim Sari Roti Sombong Menanggapi Isu Boikot,"Produk ROTI kan banyak di jual di minimarket, pasarnya juga menengah ke atas. Sudah dikenal orang banyak, jadi saya pikir tidak berpengaruh yah",Berita Palsu
Ahok Minta Warga Luar Batang Wakafkan Tanah untuk Plaza,"Ahok Minta Warga Luar Batang Wakafkan Tanah untuk Plaza, Warga: Kenapa Bukan Apartemen yang Diwakafkan?",Berita Palsu
Pentingnya Literasi Media,Pentingnya Literasi Media,Berita Palsu
Cairan dalam Wadah Mainan Anak yang Menyerupai Pisang Tidak Mengandung Narkoba,"Telah beredar informasi melalui media sosial tentang beredarnya minuman semprot mengandung narkoba dikalangan anak SD. Informasi tersebut tidak benar/hoax. Be smart netizen, #BeSmartNetizen",Berita Palsu
Gempa Palu Bukan Penyebab Erupsi Gunung Soputan,"Pusat Vulkanologi Dan Mitigasi Bencana Geologi (PVMBG), Badan Geologi, Kementerian Energi Dan Sumber Daya Mineral (ESDM) menegaskan bahwa peningkatan aktivitas vulkanik Gunung Soputan di Sulawesi Utara bukan akibat gempa bumi di Palu.",Berita Palsu
Indomaret Klarifikasi Tayangan TV Jokowi Yang di Protes Kader Partai Demokrat,"Saya secara pribadi akan memboikot Indomaret, tidak akan belanja dijaringan Indomaret krn iklan ini. Yang mau ikut boikot, silahkan. Masih ada minimarket yg lain.",Berita Palsu
HMI Klarifikasi Terkait Isu Memberi Dukungan Politik Ke Partai Berkarya,"agenda silaturahmi dengan beberapa pimpinan partai politik (parpol), khususnya ke Partai Berkarya beberapa waktu lalu, murni untuk membangun sinergitas kelembagaan dan sharing gagasan terkait persoalan kebangsaan.",Berita Palsu
"Mulai Tahun Depan, PDIP Minta MUI Agar Babi Panggan Halal...","“MULAI TAHUN DEPAN, PDIP MINTA MUI AGAR BABI PANGGAN HALAL UNTUK DIKONSUMSI DIKALANGAN MASYARAKAT TERMASUK PESANTREN",Berita Palsu
Bawa Langsung Lansia ke Rumah Lansia Atmabrata,"Teman2 terkasih, kalau kenal/tahu lansia yg tidak punya rumah, tdk ada keluarga yg urus, atau tidak punya tempat berteduh, boleh bawa ke Rumah Lansia Atmabrata di Jln. Cilincing Baru 5 No: 29, Jakarta yg dikelola oleh. Bruder Petrus Partono dan tim. HP Bruder Petrus : (+62)8212 5141 621. Tidak pandang suku dan agama, siapa saja boleh mendapatkan tempat berteduh, makanan, pengobatan, dan perhatian.
 Bantu share ke grup lain..:pray:”",Berita Palsu
"Sri Mulyani Beri Klarifikasi Terkait Sajak yang Berisi tentang Keluarga, Kehilangan dan Lion Air JT 610","Setelah setelah saya konfirmasi, beliau menyatakan tidak membuat tulisan tersebut",Berita Palsu
TNI: Indonesia Tidak Langgar Perbatasan Timor Leste,"David Diaz Ximenes, anggota Komisi VIII Parlemen Nasional Bidang Pertahanan dan Kerjasama Luar Negeri Timor Leste sempat menuduh ada warga negara Indonesia dari Desa Manusasi sudah melanggar perbatasan antara Indonesia-Timor Leste.",Berita Palsu
Sindrom Siklopia,Cyclopia (juga cyclocephaly atau synophthalmia) adalah bentuk langka dari holoprosencephaly,Berita Palsu
Sering Minum Es Dapat Sebabkan Batuk dan Pilek,Jangan minum air es terlampau banyak. Ingatlah bahwa Anda saat ini sudah mulai batuk dan pilek.,Berita Palsu
Larangan Takbiran di DKI Jakarta,"UNDANGAN TERBUKA UNTUK UMAT ISLAM
 
 Untuk menghidupkan malam Idul Fitri, sekaligus melestarikan tradisi Muslim di Nusantara, Front Pembela Islam (FPI) akan menggelar acara TAKBIRAN KELILING BESAR-BESARAN, pada:",Berita Palsu
KPU Bantah Tuduhan Server Disetting untuk Menangkan Jokowi 57% dan Akan Lapor Bareskrim,"Breaking News:exclamation: Pak wahyu mantan staff jokowi di solo bongkar server KPU di singapur udh setting kemenangan 01 57%!!!, jebol salah satu dari 7 servernya. Sebarkan. Viralkan :loud_sound",Berita Palsu
"MUNCUL ISU AKAN TERJADI GEMPA DI PALU PADA 28 DESEMBER 2018, BMKG ANGKAT BICARA","Kepala Stasiun Geofisika Klas I Palu, Cahyo Nugroho: “Isu itu tidak benar atau hoax, belum ada teknologi yang dapat memprediksi akan terjadinya suatu gempa bumi di sebuah wilayah,”",Berita Palsu
Pesawat Citilink QG 801 Rute Semarang-Surabaya Tidak Hilang,Manajemen Citilink Indonesia memastikan keselamatan dan keamanan setiap penerbangan,Berita Palsu
MANTAN PRESIDEN RI KE 3 DI NOBATKAN SEBAGAI PEMILIK IQ TERTINGGI SEPANJANG SEJARAH MANUSIA NAMUN DI SIA SIAKAN OLEH BANGSA INDONESIA,"#MCA_BreackingNews_UpdateNEWS
 MOHON DOA NYA SEJENAK
 Kabar dari wadir RSPAD.
 MANTAN PRESIDEN RI KE 3 DI NOBATKAN SEBAGAI PEMILIK IQ TERTINGGI SEPANJANG SEJARAH MANUSIA NAMUN DI SIA SIAKAN OLEH BANGSA INDONESIA
 Sebuah situs Opishposh.com telah merilis 10 Manusia dengan IQ tertinggi dengan judul People With The Highest IQ Ever Recorded sbb : [...]",Berita Palsu
Luhut Melarang Anies Merombak Pejabat DKI,Punya kewenangan apa si mantan jendral yang sengak ini ?,Berita Palsu
Uang Rupiah Baru Bertandatangan Menteri Keuangan,"Coba perhatikan tanda tangan yg tercantum dalam uang rupiah cetakan lama dan yg baru……ada perbedaan yg sangat prinsip.
 Intinya…..uang rupiah yang lama di ttd Gubernur BI dan salah satu deputy BI……uang baru di ttd Gub BI dan menteri keuangan.
 Semua uang yg baru …tanda tangannya….ada campur tangan pemerintah……yg selama ini nggak pernah menteri keuangan ikut ttd uang rupiah.
 Uang baru mencantumkan tulisan Negara Kesatuan Republik Indonesia menghilangkan tulisan Bank Indonesia (hanya ada dicantumkan di muka belakang).
 Satu lagi,....",Berita Palsu
Anda Pernah Membully Orang Lain?,"Anda pernah membully orang lain?
 Tafsir al-Hujurat ayat 11",Berita Palsu
: Cara Menandai Situs Berita Palsu,Cara ini membuat Anda bisa mencegah berita bohong atau hoax tersebar lebih luas dengan mengetahui keaslian dari suatu situs berita.,Berita Palsu
Bisnis Penjualan Fanpage,Bisnis Penjualan Fanpage,Berita Palsu
"LPG, Liquified Petroleum Gas","Merasa ditipu karena isi tabung gas berupa “air”, dua pria ini terbakar saat mengeluarkan “air” dari tabung gas tersebut. Padahal namanya LPG “liquified Petroleum gas",Berita Palsu
Klarifikasi BIN terkait Pesan Berantai yang Sebut 29 Tokoh Pendukung Prabowo-Sandiaga sedang Dimonitori oleh Aparat,29 Tokoh Pendukung Capres 02 Kena Motif. Siapa Saja Mereka?,Berita Palsu
"NUNGGAK BPJS TAK BISA URUS SIM-STNK, PIHAK TERKAIT BERIKAN KLARIFIKASI","Penduduk yang belum mendaftarkan diri dan anggota keluarganya setelah tanggal 1 Januari 2019 dikenakan sanksi administrasi berupa PENCABUTAN LAYANAN PUBLIK TERTENTU, meliputi:",Berita Palsu
"Klarifikasi BMKG Terkait Prediksi Gempa Bermagnitudo 8,2 dan Tsunami di Beberapa Daerah Jateng",Pesan yang beredar sudah dapat dipastikan hoaks,Berita Palsu
"Bukan Hoax, FPI Ikut Buka Bersama di Masjidilaqsa","Hadir dalam misi tersebut adalah ustad Bachtiar Nasir dari AQL, juga 
dari FPI, serta beberapa ustad lainnya. Di sela acara itu, ada MoU 
dengan Yayasan IHYA untuk program Palestina,",Berita Palsu
Klarifikasi Rumah Sakit Umum Cut Nyak Dien  Meulaboh Terkait Isu Keluarnya Dokter Spesialis Jantung Karena Tak Digaji,"Kemarin ini, dokter spesialis jantung itu bernama Dr Kamariah dan benar sempat seminggu pergi, tapi perginya untuk mengurus ijin praktek ke IDI,",Berita Palsu
